Time(s),NodeID,TxThroughput(bps),RxThroughput(bps),AvgDelay(s),LossRate(%)
66,2,16608,0,0,81.5385
66,3,0,0,0,0
66,4,0,0,0,0
66,5,0,0,0,0
66,6,8416,8416,0.0210738,87.5
66,7,0,0,0,0
66,8,0,0,0,0
67,0,0,0,0,0
67,1,16608,16608,0.0584158,66.6667
67,2,16608,0,0,81.8182
67,3,49824,0,0,100
67,4,49824,0,0,100
67,5,0,0,0,0
67,6,8416,0,0,87.7193
67,7,0,0,0,0
67,8,16608,0,0,96.0784
68,0,49824,0,0,73.3333
68,1,16608,16608,0.0594242,65.7534
68,2,16608,0,0,82.0896
68,3,0,0,0,0
68,4,0,0,0,0
68,5,49824,0,0,100
68,6,8416,0,0,87.931
68,7,0,0,0,0
68,8,16608,0,0,96.1538
69,0,8416,8416,0.0753158,72.5275
69,1,0,0,0,0
69,2,16608,16608,0.039273,80.8824
69,3,0,0,0,0
69,4,0,0,0,0
69,5,0,0,0,0
69,6,8416,8416,0.0240843,86.4407
69,7,49824,0,0,100
69,8,16608,0,0,96.2264
70,0,0,0,0,0
70,1,49824,0,0,67.1053
70,2,16608,0,0,81.1594
70,3,0,0,0,0
70,4,49824,0,0,100
70,5,0,0,0,0
70,6,8416,0,0,86.6667
70,7,0,0,0,0
70,8,16608,0,0,96.2963
71,0,49824,0,0,73.4043
71,1,0,0,0,0
71,2,16608,0,0,81.4286
71,3,49824,0,0,100
71,4,0,0,0,0
71,5,0,0,0,0
71,6,0,0,0,0
71,7,0,0,0,0
71,8,16608,0,0,96.3636
72,0,8416,8416,0.0783263,72.6316
72,1,0,0,0,0
72,2,16608,0,0,81.6901
72,3,0,0,0,0
72,4,0,0,0,0
72,5,49824,0,0,100
72,6,8416,0,0,86.8852
72,7,0,0,0,0
72,8,0,0,0,0
73,0,0,0,0,0
73,1,0,0,0,0
73,2,16608,0,0,81.9444
73,3,0,0,0,0
73,4,49824,0,0,100
73,5,0,0,0,0
73,6,8416,0,0,87.0968
73,7,49824,0,0,100
73,8,16608,0,0,96.4286
74,0,49824,0,0,73.4694
74,1,49824,0,0,68.3544
74,2,16608,0,0,82.1918
74,3,0,0,0,0
74,4,0,0,0,0
74,5,0,0,0,0
74,6,8416,0,0,87.3016
74,7,0,0,0,0
74,8,16608,0,0,96.4912
75,0,8416,8416,0.0813369,72.7273
75,1,0,0,0,0
75,2,0,0,0,0
75,3,49824,0,0,100
75,4,0,0,0,0
75,5,0,0,0,0
75,6,8416,0,0,87.5
75,7,0,0,0,0
75,8,16608,0,0,96.5517
76,0,0,0,0,0
76,1,16608,16608,0.0624452,67.5
76,2,33216,16608,0.042294,81.3333
76,3,0,0,0,0
76,4,49824,0,0,100
76,5,49824,0,0,100
76,6,8416,0,0,87.6923
76,7,0,0,0,0
76,8,16608,0,0,96.6102
77,0,49824,0,0,73.5294
77,1,16608,16608,0.0654662,66.6667
77,2,16608,0,0,81.5789
77,3,0,0,0,0
77,4,0,0,0,0
77,5,0,0,0,0
77,6,8416,0,0,87.8788
77,7,49824,0,0,100
77,8,16608,0,0,96.6667
78,0,0,0,0,0
78,1,49824,0,0,67.8571
78,2,16608,0,0,81.8182
78,3,0,0,0,0
78,4,0,0,0,0
78,5,0,0,0,0
78,6,8416,0,0,88.0597
78,7,0,0,0,0
78,8,0,0,0,0
79,0,0,0,0,0
79,1,16608,16608,0.0684872,67.0588
79,2,16608,0,0,82.0513
79,3,49824,0,0,100
79,4,49824,0,0,100
79,5,0,0,0,0
79,6,8416,0,0,88.2353
79,7,0,0,0,0
79,8,16608,0,0,96.7213
80,0,49824,0,0,74.2857
80,1,16608,16608,0.0694956,66.2791
80,2,16608,0,0,82.2785
80,3,0,0,0,0
80,4,0,0,0,0
80,5,49824,0,0,100
80,6,8416,0,0,88.4058
80,7,0,0,0,0
80,8,16608,0,0,96.7742
81,0,0,0,0,0
81,1,0,0,0,0
81,2,0,0,0,0
81,3,0,0,0,0
81,4,0,0,0,0
81,5,0,0,0,0
81,6,8416,0,0,88.5714
81,7,49824,0,0,100
81,8,16608,0,0,96.8254
82,0,0,0,0,0
82,1,66432,16608,0.0725166,66.6667
82,2,16608,0,0,82.5
82,3,0,0,0,0
82,4,49824,0,0,100
82,5,0,0,0,0
82,6,0,0,0,0
82,7,0,0,0,0
82,8,16608,0,0,96.875
83,0,49824,0,0,75
83,1,0,0,0,0
83,2,16608,0,0,82.716
83,3,49824,0,0,100
83,4,0,0,0,0
83,5,0,0,0,0
83,6,8416,0,0,88.7324
83,7,0,0,0,0
83,8,16608,0,0,96.9231
84,0,8416,8416,0.0843474,74.3119
84,1,0,0,0,0
84,2,16608,0,0,82.9268
84,3,0,0,0,0
84,4,0,0,0,0
84,5,49824,0,0,100
84,6,8416,8416,0.0270949,87.5
84,7,0,0,0,0
84,8,0,0,0,0
85,0,0,0,0,0
85,1,33216,33216,0.0392793,65.2174
85,2,33216,16608,0.045315,82.1429
85,3,0,0,0,0
85,4,49824,0,0,100
85,5,0,0,0,0
85,6,8416,0,0,87.6712
85,7,49824,0,0,100
85,8,16608,0,0,96.9697
86,0,49824,0,0,75
86,1,49824,0,0,66.3158
86,2,16608,0,0,82.3529
86,3,0,0,0,0
86,4,0,0,0,0
86,5,0,0,0,0
86,6,8416,0,0,87.8378
86,7,0,0,0,0
86,8,16608,0,0,97.0149
87,0,8416,8416,0.087358,74.3363
87,1,0,0,0,0
87,2,0,0,0,0
87,3,49824,0,0,100
87,4,0,0,0,0
87,5,0,0,0,0
87,6,8416,8416,0.0301054,86.6667
87,7,0,0,0,0
87,8,16608,0,0,97.0588
88,0,0,0,0,0
88,1,0,0,0,0
88,2,16608,0,0,82.5581
88,3,0,0,0,0
88,4,49824,0,0,100
88,5,49824,0,0,100
88,6,8416,0,0,86.8421
88,7,0,0,0,0
88,8,16608,0,0,97.1014
89,0,49824,0,0,75
89,1,16608,16608,0.0815796,65.625
89,2,16608,0,0,82.7586
89,3,0,0,0,0
89,4,0,0,0,0
89,5,0,0,0,0
89,6,8416,0,0,87.013
89,7,49824,0,0,100
89,8,16608,0,0,97.1429
90,0,0,0,0,0
90,1,49824,0,0,66.6667
90,2,33216,16608,0.048336,82.0225
90,3,0,0,0,0
90,4,0,0,0,0
90,5,0,0,0,0
90,6,8416,0,0,87.1795
90,7,0,0,0,0
90,8,0,0,0,0
91,0,0,0,0,0
91,1,0,0,0,0
91,2,16608,0,0,82.2222
91,3,49824,0,0,100
91,4,49824,0,0,100
91,5,0,0,0,0
91,6,8416,0,0,87.3418
91,7,0,0,0,0
91,8,16608,0,0,97.1831
92,0,49824,0,0,75.6303
92,1,0,0,0,0
92,2,16608,0,0,82.4176
92,3,0,0,0,0
92,4,0,0,0,0
92,5,49824,0,0,100
92,6,8416,0,0,87.5
92,7,0,0,0,0
92,8,16608,0,0,97.2222
93,0,0,0,0,0
93,1,0,0,0,0
93,2,0,0,0,0
93,3,0,0,0,0
93,4,0,0,0,0
93,5,0,0,0,0
93,6,0,0,0,0
93,7,49824,0,0,100
93,8,16608,0,0,97.2603
94,0,8416,8416,0.0903685,75
94,1,49824,0,0,67.6471
94,2,16608,0,0,82.6087
94,3,0,0,0,0
94,4,49824,0,0,100
94,5,0,0,0,0
